mS#Estado,i#CVE_Estado,C#Distritos,C#Tiempo_promedio,C#Distancia_promedio,C#Densidad,C#Padron,C#Padron_Loc_Rurales,C#Secciones_rurales,C#IC_distrital,PC1,PC2,Cluster_HC,Cluster_Kmeans,ICE_estatal,PC22,ICE2
MEX,15,41,80.95121951,77.95609756,514.7406647,11559233,1463387,1105,-1.099685244,5.060624807,3.085412477,C4,C3,4.073018642,-3.085412477,0.987606165
VER,30,20,206.25,205.7,77.44726598,5618012,1779611,1878,0.61847372,4.488626016,-1.442523385,C4,C6,1.523051315,1.442523385,2.9655747
CHIS,7,13,161.7692308,161.2,45.91460523,3553831,1672217,1097,1.263674459,2.473920137,-1.36982924,C2,C8,0.552045449,1.36982924,1.921874689
GRO,12,9,145.5555556,147.4666667,38.39818745,2459699,886310,1688,1.840718239,1.597380636,-1.837768581,C2,C8,-0.120193972,1.837768581,1.717574608
GTO,11,15,67.46666667,79.74666667,139.6538988,4272391,1108932,1068,0.142790538,1.495882506,0.489222804,C2,C7,0.992552655,-0.489222804,0.503329851
OAX,20,10,190,167.29,29.88318246,2829808,752295,960,1.212487737,1.251072991,-1.547660798,C2,C8,-0.148293904,1.547660798,1.399366895
MICH,16,12,114.3333333,132.8,56.48677428,3322815,876634,1026,0.612115817,1.205513144,-0.519895368,C2,C2,0.342808888,0.519895368,0.862704256
PUE,21,15,81.46666667,77.53333333,133.8445968,4613378,937216,753,-0.108013077,1.184863386,0.73122462,C2,C7,0.958044003,-0.73122462,0.226819383
JAL,14,20,64.25,63.52,73.41181675,5709649,538768,698,-0.611355324,1.143065781,1.547144018,C2,C7,1.345104899,-1.547144018,-0.202039119
CDMX,9,24,32.58333333,15.08333333,4863.457618,7420577,1652,1,-2.187279946,0.669473887,6.046611892,C3,C4,3.35804289,-6.046611892,-2.688569002
TAMPS,28,9,210.8888889,274.3222222,33.0917295,2677094,231520,346,-0.303494363,0.537985657,-1.343815765,C2,C2,-0.402915054,1.343815765,0.940900711
SLP,24,7,120,160.7428571,31.45369005,1935074,628880,980,1.140605859,0.41287449,-1.249397901,C2,C2,-0.418261706,1.249397901,0.831136195
HGO,13,7,85.57142857,75.24285714,99.72600819,2093116,818220,1073,1.433416126,0.309689731,-0.699314829,C2,C2,-0.194812549,0.699314829,0.50450228
CHIH,8,9,140.7777778,209.5777778,10.83359382,2677752,275327,643,0.766711854,0.273262837,-1.099452012,C2,C2,-0.413094588,1.099452012,0.686357424
SIN,25,7,100.7142857,217.8142857,36.57071404,2090445,332328,1032,0.691725526,0.262515947,-1.188322603,C2,C2,-0.462903328,1.188322603,0.725419275
SON,26,7,167.8571429,237.8,11.18812982,2035479,221548,298,0.751927298,-0.124842526,-1.427561776,C2,C2,-0.776202151,1.427561776,0.651359625
COAH,5,7,132.7142857,194.9571429,14.00632357,2116460,140763,313,0.337992567,-0.453269856,-0.782648658,C1,C2,-0.617959257,0.782648658,0.164689401
Q_ROO,23,4,201.5,272.25,25.40402857,1257339,90453,102,-0.447795154,-0.457341274,-1.481683569,C2,C2,-0.969512422,1.481683569,0.512171147
BC,2,8,110.875,121.7375,37.89137819,2826713,182781,117,-0.61571661,-0.647782144,0.356231622,C1,C5,-0.145775261,-0.356231622,-0.502006883
NL,19,12,28.41666667,26.66666667,58.76417275,3794620,164478,311,-0.813277829,-0.721815191,1.713417332,C1,C5,0.49580107,-1.713417332,-1.217616261
TAB,27,6,45,43.26666667,64.11509443,1662467,640604,523,0.764620584,-0.774744884,0.16645729,C1,C5,-0.304143797,-0.16645729,-0.470601087
DGO,10,4,62.75,82.275,10.64764551,1306509,329170,699,2.511943168,-1.006165835,-1.005297732,C1,C9,-1.005731783,1.005297732,-0.000434051
ZAC,32,4,27.25,32.875,14.81106453,1122395,320558,957,2.445247116,-1.131920731,-0.621129317,C1,C9,-0.876525024,0.621129317,-0.255395707
QRO,22,5,29.6,27.88,134.9107161,1590306,279911,205,-0.104193786,-1.578307121,0.894574573,C1,C1,-0.341866274,-0.894574573,-1.236440847
YUC,31,5,53.2,60.8,35.83910477,1522002,97667,161,-0.255204511,-1.609579811,0.614763072,C1,C1,-0.497408369,-0.614763072,-1.112171441
CAMP,4,2,91,103.35,10.69469933,632436,140331,181,1.681282854,-1.682346784,-0.887113021,C1,C9,-1.284729902,0.887113021,-0.397616881
NAY,18,3,38.33333333,73.93333333,29.40299503,834047,183404,335,0.763063227,-1.708415067,-0.02740919,C1,C9,-0.867912128,0.02740919,-0.840502939
MOR,17,5,41.6,26.46,283.6785114,1408007,84249,103,-0.871306478,-1.806613708,1.25794343,C1,C1,-0.274335139,-1.25794343,-1.532278569
BCS,3,2,76,96.6,7.024917063,511450,44636,84,3.514248614,-2.059078877,-1.409713102,C1,C9,-1.73439599,1.409713102,-0.324682887
COL,6,2,45,54.75,89.52044685,516655,37604,57,-0.569968266,-2.187795985,0.646708506,C1,C1,-0.77054374,-0.646708506,-1.417252245
TLAX,29,3,22,13.33333333,219.3831172,901992,47969,121,-0.552031677,-2.201576104,1.148044022,C1,C1,-0.526766041,-1.148044022,-1.674810063
AGS,1,3,14.33333333,8.966666667,171.5754116,971115,111227,75,-0.625426285,-2.215156054,1.24278119,C1,C1,-0.486187432,-1.24278119,-1.728968622
